,State,County,City,Median Sale Price,Date,Month,Year
50,California,"Santa Clara, CA",Santa Clara,465000.0,2/1/2012,2,2012
64,California,"Santa Clara, CA",Santa Clara,690000.0,10/1/2013,10,2013
84,California,"Alameda, CA",Alameda,782000.0,9/1/2015,9,2015
109,California,"Santa Clara, CA",Santa Clara,541000.0,3/1/2012,3,2012
125,California,"Alameda, CA",Alameda,488000.0,9/1/2012,9,2012
158,California,"Alameda, CA",Alameda,630000.0,6/1/2013,6,2013
175,California,"Alameda, CA",Alameda,615000.0,12/1/2013,12,2013
222,California,"Alameda, CA",Alameda,775000.0,3/1/2015,3,2015
241,California,"Alameda, CA",Alameda,755000.0,8/1/2015,8,2015
351,California,"Alameda, CA",Alameda,850000.0,5/1/2016,5,2016
363,California,"Alameda, CA",Alameda,880000.0,12/1/2016,12,2016
385,California,"Santa Clara, CA",Santa Clara,1325000.0,12/1/2017,12,2017
399,California,"Santa Clara, CA",Santa Clara,545000.0,7/1/2012,7,2012
464,California,"Santa Clara, CA",Santa Clara,898000.0,7/1/2015,7,2015
479,California,"Santa Clara, CA",Santa Clara,895000.0,3/1/2016,3,2016
488,California,"Alameda, CA",Alameda,827000.0,8/1/2016,8,2016
614,California,"Alameda, CA",Alameda,568000.0,8/1/2013,8,2013
618,California,"Alameda, CA",Alameda,655000.0,9/1/2013,9,2013
630,California,"Santa Clara, CA",Santa Clara,690000.0,11/1/2013,11,2013
714,California,"Alameda, CA",Alameda,518000.0,6/1/2012,6,2012
727,California,"Santa Clara, CA",Santa Clara,601000.0,8/1/2012,8,2012
762,California,"Santa Clara, CA",Santa Clara,635000.0,5/1/2013,5,2013
763,California,"Alameda, CA",Alameda,605000.0,5/1/2013,5,2013
820,California,"Santa Clara, CA",Santa Clara,741000.0,5/1/2014,5,2014
826,California,"Alameda, CA",Alameda,799000.0,6/1/2014,6,2014
833,California,"Santa Clara, CA",Santa Clara,785000.0,8/1/2014,8,2014
836,California,"Santa Clara, CA",Santa Clara,785000.0,9/1/2014,9,2014
849,California,"Santa Clara, CA",Santa Clara,748000.0,11/1/2014,11,2014
889,California,"Alameda, CA",Alameda,785000.0,7/1/2015,7,2015
1002,California,"Santa Clara, CA",Santa Clara,1160000.0,6/1/2017,6,2017
1017,California,"Santa Clara, CA",Santa Clara,1140000.0,10/1/2017,10,2017
1054,California,"Alameda, CA",Alameda,402000.0,2/1/2012,2,2012
1058,California,"Alameda, CA",Alameda,439000.0,3/1/2012,3,2012
1165,California,"Santa Clara, CA",Santa Clara,670000.0,8/1/2013,8,2013
1172,California,"Santa Clara, CA",Santa Clara,642000.0,9/1/2013,9,2013
1230,California,"Alameda, CA",Alameda,710000.0,9/1/2014,9,2014
1302,California,"Alameda, CA",Alameda,780000.0,6/1/2015,6,2015
1441,California,"Santa Clara, CA",Santa Clara,638000.0,6/1/2012,6,2012
1483,California,"Santa Clara, CA",Santa Clara,615000.0,1/1/2013,1,2013
1488,California,"Alameda, CA",Alameda,549000.0,2/1/2013,2,2013
1515,California,"Santa Clara, CA",Santa Clara,684000.0,4/1/2013,4,2013
1536,California,"Alameda, CA",Alameda,650000.0,7/1/2013,7,2013
1587,California,"Santa Clara, CA",Santa Clara,735000.0,12/1/2013,12,2013
1596,California,"Alameda, CA",Alameda,726000.0,2/1/2014,2,2014
1615,California,"Santa Clara, CA",Santa Clara,708000.0,4/1/2014,4,2014
1647,California,"Alameda, CA",Alameda,721000.0,10/1/2014,10,2014
1765,California,"Alameda, CA",Alameda,503000.0,5/1/2012,5,2012
1812,California,"Santa Clara, CA",Santa Clara,585000.0,10/1/2012,10,2012
1814,California,"Alameda, CA",Alameda,508000.0,11/1/2012,11,2012
1822,California,"Alameda, CA",Alameda,515000.0,12/1/2012,12,2012
1877,California,"Santa Clara, CA",Santa Clara,695000.0,6/1/2013,6,2013
1953,California,"Alameda, CA",Alameda,725000.0,4/1/2014,4,2014
2013,California,"Alameda, CA",Alameda,680000.0,11/1/2014,11,2014
2126,California,"Santa Clara, CA",Santa Clara,600000.0,5/1/2012,5,2012
2145,California,"Alameda, CA",Alameda,520000.0,8/1/2012,8,2012
2198,California,"Santa Clara, CA",Santa Clara,593000.0,12/1/2012,12,2012
2293,California,"Alameda, CA",Alameda,625000.0,10/1/2013,10,2013
2435,California,"Santa Clara, CA",Santa Clara,804000.0,1/1/2015,1,2015
2524,California,"Santa Clara, CA",Santa Clara,903000.0,11/1/2015,11,2015
2530,California,"Alameda, CA",Alameda,810000.0,12/1/2015,12,2015
2630,California,"Santa Clara, CA",Santa Clara,914000.0,11/1/2016,11,2016
2642,California,"Alameda, CA",Alameda,792000.0,1/1/2017,1,2017
2741,California,"Santa Clara, CA",Santa Clara,1175000.0,9/1/2017,9,2017
2785,California,"Alameda, CA",Alameda,875000.0,3/1/2018,3,2018
2792,California,"Santa Clara, CA",Santa Clara,1410000.0,3/1/2018,3,2018
2834,California,"Santa Clara, CA",Santa Clara,483000.0,4/1/2012,4,2012
2952,California,"Alameda, CA",Alameda,700000.0,3/1/2014,3,2014
2982,California,"Alameda, CA",Alameda,780000.0,8/1/2014,8,2014
3039,California,"Santa Clara, CA",Santa Clara,910000.0,6/1/2015,6,2015
3056,California,"Santa Clara, CA",Santa Clara,888000.0,9/1/2015,9,2015
3311,California,"San Francisco, CA",San Francisco,825000.0,2/1/2013,2,2013
3321,California,"Santa Clara, CA",Santa Clara,648000.0,3/1/2013,3,2013
3329,California,"Alameda, CA",Alameda,657000.0,4/1/2013,4,2013
3418,California,"Santa Clara, CA",Santa Clara,723000.0,1/1/2014,1,2014
3431,California,"Santa Clara, CA",Santa Clara,735000.0,2/1/2014,2,2014
3462,California,"Santa Clara, CA",Santa Clara,784000.0,6/1/2014,6,2014
3571,California,"Santa Clara, CA",Santa Clara,856000.0,5/1/2015,5,2015
3729,California,"Alameda, CA",Alameda,850000.0,9/1/2016,9,2016
3773,California,"Santa Clara, CA",Santa Clara,923000.0,1/1/2017,1,2017
4042,California,"Santa Clara, CA",Santa Clara,595000.0,9/1/2012,9,2012
4045,California,"Alameda, CA",Alameda,562000.0,10/1/2012,10,2012
4111,California,"Alameda, CA",Alameda,453000.0,3/1/2013,3,2013
4129,California,"San Francisco, CA",San Francisco,915000.0,4/1/2013,4,2013
4280,California,"Alameda, CA",Alameda,640000.0,7/1/2014,7,2014
4288,California,"Santa Clara, CA",Santa Clara,755000.0,7/1/2014,7,2014
4324,California,"San Francisco, CA",San Francisco,1063000.0,10/1/2014,10,2014
4365,California,"Alameda, CA",Alameda,720000.0,2/1/2015,2,2015
4402,California,"Santa Clara, CA",Santa Clara,850000.0,4/1/2015,4,2015
4409,California,"Alameda, CA",Alameda,830000.0,5/1/2015,5,2015
4489,California,"Alameda, CA",Alameda,800000.0,11/1/2015,11,2015
4526,California,"Santa Clara, CA",Santa Clara,920000.0,1/1/2016,1,2016
4591,California,"Santa Clara, CA",Santa Clara,955000.0,7/1/2016,7,2016
4627,California,"Alameda, CA",Alameda,974000.0,10/1/2018,10,2018
4797,California,"Alameda, CA",Alameda,521000.0,7/1/2012,7,2012
4885,California,"San Francisco, CA",San Francisco,760000.0,1/1/2013,1,2013
4895,California,"San Mateo, CA",San Mateo,670000.0,2/1/2013,2,2013
4896,California,"Santa Clara, CA",Santa Clara,601000.0,2/1/2013,2,2013
5023,California,"San Francisco, CA",San Francisco,925000.0,11/1/2013,11,2013
5672,California,"Napa, CA",Napa,382000.0,3/1/2013,3,2013
5704,California,"San Francisco, CA",San Francisco,912000.0,5/1/2013,5,2013
5899,California,"Alameda, CA",Alameda,655000.0,5/1/2014,5,2014
5911,California,"San Francisco, CA",San Francisco,1050000.0,5/1/2014,5,2014
6187,California,"San Mateo, CA",San Mateo,1004000.0,10/1/2015,10,2015
6264,California,"Alameda, CA",Alameda,785000.0,3/1/2016,3,2016
6313,California,"San Francisco, CA",San Francisco,1295000.0,5/1/2016,5,2016
6442,California,"San Mateo, CA",San Mateo,1100000.0,1/1/2017,1,2017
6573,California,"San Francisco, CA",San Francisco,1295000.0,9/1/2017,9,2017
6640,California,"San Francisco, CA",San Francisco,1250000.0,1/1/2018,1,2018
6775,California,"Santa Clara, CA",Santa Clara,1265000.0,9/1/2018,9,2018
6851,California,"Alameda, CA",Alameda,1001000.0,9/1/2017,9,2017
6857,California,"Alameda, CA",Alameda,815000.0,2/1/2018,2,2018
6864,California,"Santa Clara, CA",Santa Clara,1185000.0,1/1/2019,1,2019
7029,California,"San Francisco, CA",San Francisco,760000.0,7/1/2012,7,2012
7078,California,"Santa Clara, CA",Santa Clara,600000.0,11/1/2012,11,2012
7089,California,"Alameda, CA",Alameda,522000.0,1/1/2013,1,2013
7231,California,"Alameda, CA",Alameda,580000.0,1/1/2014,1,2014
7241,California,"San Francisco, CA",San Francisco,987000.0,1/1/2014,1,2014
7278,California,"San Francisco, CA",San Francisco,1005000.0,4/1/2014,4,2014
7375,California,"Santa Clara, CA",Santa Clara,775000.0,10/1/2014,10,2014
7394,California,"Alameda, CA",Alameda,689000.0,12/1/2014,12,2014
7399,California,"San Francisco, CA",San Francisco,1056000.0,12/1/2014,12,2014
7420,California,"Santa Clara, CA",Santa Clara,780000.0,2/1/2015,2,2015
7709,California,"San Mateo, CA",San Mateo,609000.0,2/1/2012,2,2012
7730,California,"Napa, CA",Napa,322000.0,4/1/2012,4,2012
7732,California,"Alameda, CA",Alameda,510000.0,4/1/2012,4,2012
7742,California,"San Francisco, CA",San Francisco,753000.0,4/1/2012,4,2012
7798,California,"Napa, CA",Napa,384000.0,8/1/2012,8,2012
7828,California,"San Francisco, CA",San Francisco,768000.0,9/1/2012,9,2012
7847,California,"San Mateo, CA",San Mateo,731000.0,10/1/2012,10,2012
8091,California,"San Francisco, CA",San Francisco,866000.0,12/1/2013,12,2013
8237,California,"San Francisco, CA",San Francisco,982000.0,9/1/2014,9,2014
8283,California,"San Francisco, CA",San Francisco,1123000.0,11/1/2014,11,2014
8318,California,"Napa, CA",Napa,504000.0,2/1/2015,2,2015
8347,California,"Santa Clara, CA",Santa Clara,878000.0,3/1/2015,3,2015
8390,California,"San Francisco, CA",San Francisco,1300000.0,5/1/2015,5,2015
8478,California,"Napa, CA",Napa,625000.0,11/1/2015,11,2015
8501,California,"Napa, CA",Napa,568000.0,12/1/2015,12,2015
8512,California,"Santa Clara, CA",Santa Clara,910000.0,12/1/2015,12,2015
8583,California,"San Francisco, CA",San Francisco,1315000.0,4/1/2016,4,2016
8659,California,"Santa Clara, CA",Santa Clara,940000.0,8/1/2016,8,2016
8722,California,"San Mateo, CA",San Mateo,1123000.0,12/1/2016,12,2016
8772,California,"San Francisco, CA",San Francisco,1275000.0,2/1/2017,2,2017
8877,California,"San Mateo, CA",San Mateo,1281000.0,8/1/2017,8,2017
8878,California,"Santa Clara, CA",Santa Clara,1185000.0,8/1/2017,8,2017
9057,California,"Santa Clara, CA",Santa Clara,1261000.0,10/1/2018,10,2018
9419,California,"Napa, CA",Napa,330000.0,5/1/2012,5,2012
9436,California,"San Mateo, CA",San Mateo,605000.0,5/1/2012,5,2012
9462,California,"San Mateo, CA",San Mateo,624000.0,6/1/2012,6,2012
9463,California,"San Francisco, CA",San Francisco,765000.0,6/1/2012,6,2012
9613,California,"San Mateo, CA",San Mateo,625000.0,12/1/2012,12,2012
9806,California,"Napa, CA",Napa,433000.0,9/1/2013,9,2013
9859,California,"Alameda, CA",Alameda,620000.0,11/1/2013,11,2013
9974,California,"Santa Clara, CA",Santa Clara,769000.0,3/1/2014,3,2014
9983,California,"Napa, CA",Napa,450000.0,4/1/2014,4,2014
10114,California,"Napa, CA",Napa,495000.0,9/1/2014,9,2014
10224,California,"Santa Clara, CA",Santa Clara,973000.0,10/1/2016,10,2016
10244,California,"Alameda, CA",Alameda,900000.0,2/1/2017,2,2017
10264,California,"Alameda, CA",Alameda,965000.0,7/1/2017,7,2017
10354,California,"Alameda, CA",Alameda,975000.0,9/1/2018,9,2018
10379,California,"Alameda, CA",Alameda,810000.0,1/1/2019,1,2019
10787,California,"Napa, CA",Napa,324000.0,6/1/2012,6,2012
10835,California,"San Francisco, CA",San Francisco,750000.0,8/1/2012,8,2012
10836,California,"San Mateo, CA",San Mateo,627000.0,8/1/2012,8,2012
10855,California,"San Mateo, CA",San Mateo,652000.0,9/1/2012,9,2012
10897,California,"San Mateo, CA",San Mateo,715000.0,11/1/2012,11,2012
10917,California,"San Francisco, CA",San Francisco,825000.0,12/1/2012,12,2012
10948,California,"San Mateo, CA",San Mateo,714000.0,1/1/2013,1,2013
11002,California,"San Francisco, CA",San Francisco,900000.0,3/1/2013,3,2013
11047,California,"San Mateo, CA",San Mateo,717000.0,5/1/2013,5,2013
11423,California,"Alameda, CA",Alameda,806000.0,11/1/2016,11,2016
11438,California,"Alameda, CA",Alameda,950000.0,5/1/2017,5,2017
11495,California,"Santa Clara, CA",Santa Clara,1250000.0,11/1/2018,11,2018
11712,California,"Napa, CA",Napa,329000.0,3/1/2012,3,2012
12105,California,"San Mateo, CA",San Mateo,828000.0,10/1/2013,10,2013
12167,California,"Napa, CA",Napa,471000.0,2/1/2014,2,2014
12224,California,"San Mateo, CA",San Mateo,810000.0,4/1/2014,4,2014
12271,California,"San Francisco, CA",San Francisco,1100000.0,6/1/2014,6,2014
12281,California,"Napa, CA",Napa,528000.0,7/1/2014,7,2014
12350,California,"San Mateo, CA",San Mateo,955000.0,10/1/2014,10,2014
12458,California,"Alameda, CA",Alameda,765000.0,4/1/2015,4,2015
12643,California,"San Francisco, CA",San Francisco,1151000.0,1/1/2016,1,2016
13060,California,"San Francisco, CA",San Francisco,735000.0,5/1/2012,5,2012
13090,California,"Napa, CA",Napa,373000.0,7/1/2012,7,2012
13147,California,"Napa, CA",Napa,365000.0,10/1/2012,10,2012
13162,California,"San Francisco, CA",San Francisco,820000.0,10/1/2012,10,2012
13190,California,"Napa, CA",Napa,340000.0,12/1/2012,12,2012
13274,California,"San Mateo, CA",San Mateo,820000.0,4/1/2013,4,2013
13321,California,"San Francisco, CA",San Francisco,883000.0,6/1/2013,6,2013
13391,California,"San Mateo, CA",San Mateo,801000.0,9/1/2013,9,2013
13431,California,"Napa, CA",Napa,453000.0,11/1/2013,11,2013
13464,California,"San Mateo, CA",San Mateo,785000.0,12/1/2013,12,2013
13517,California,"San Francisco, CA",San Francisco,988000.0,2/1/2014,2,2014
13527,California,"Napa, CA",Napa,472000.0,3/1/2014,3,2014
13691,California,"Napa, CA",Napa,500000.0,10/1/2014,10,2014
13764,California,"Napa, CA",Napa,505000.0,1/1/2015,1,2015
13805,California,"San Mateo, CA",San Mateo,949000.0,2/1/2015,2,2015
13941,California,"San Mateo, CA",San Mateo,1070000.0,8/1/2015,8,2015
13988,California,"San Francisco, CA",San Francisco,1204000.0,10/1/2015,10,2015
14135,California,"Alameda, CA",Alameda,920000.0,4/1/2018,4,2018
14395,California,"San Francisco, CA",San Francisco,674000.0,2/1/2012,2,2012
14612,California,"Napa, CA",Napa,389000.0,1/1/2013,1,2013
14712,California,"Napa, CA",Napa,485000.0,6/1/2013,6,2013
14745,California,"San Mateo, CA",San Mateo,765000.0,7/1/2013,7,2013
14757,California,"Napa, CA",Napa,500000.0,8/1/2013,8,2013
14771,California,"San Mateo, CA",San Mateo,820000.0,8/1/2013,8,2013
14809,California,"San Francisco, CA",San Francisco,929000.0,10/1/2013,10,2013
14872,California,"Napa, CA",Napa,500000.0,1/1/2014,1,2014
