Rank,School,Type,Grades,Address,City,Zip,County,District,Is Charter,Is Magnet,Is Virtual,Is Title I,Year
9,Mission San Jose High,"Public, Magnet",12-Sep,41717 Palm Ave.,Fremont,94539,Alameda,Fremont Unified,No,Yes,No,No,2018
28,Piedmont High,Public,12-Sep,800 Magnolia Ave.,Piedmont,94611,Alameda,Piedmont City Unified,No,No,No,No,2018
47,American High,Public,12-Sep,36300 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2018
56,Foothill High,Public,12-Sep,4375 Foothill Rd.,Pleasanton,94588,Alameda,Pleasanton Unified,No,No,No,No,2018
57,Irvington High,"Public, Magnet",12-Sep,41800 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,Yes,No,No,2018
84,Amador Valley High,Public,12-Sep,1155 Santa Rita Rd.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,No,2018
87,Dublin High,Public,12-Sep,8151 Village Pkwy.,Dublin,94568,Alameda,Dublin Unified,No,No,No,Yes,2018
94,Oakland Charter High,"Public, Charter",12-Sep,2433 Coolidge Ave.,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2018
115,KIPP King Collegiate High,"Public, Charter",12-Sep,2005B Via Barrett,San Lorenzo,94580,Alameda,San Lorenzo Unified,Yes,No,No,Yes,2018
154,Albany High,Public,12-Sep,603 Key Route Blvd.,Albany,94706,Alameda,Albany City Unified,No,No,No,Yes,2018
170,Alameda High,Public,12-Sep,2201 Encinal Ave.,Alameda,94501,Alameda,Alameda Unified,No,No,No,No,2018
205,Castro Valley High,Public,12-Sep,19400 Santa Maria Ave.,Castro Valley,94546,Alameda,Castro Valley Unified,No,No,No,No,2018
223,Washington High,Public,12-Sep,38442 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2018
269,Berkeley High,Public,12-Sep,1980 Allston Way,Berkeley,94704,Alameda,Berkeley Unified,No,No,No,No,2018
289,Granada High,Public,12-Sep,400 Wall St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2018
330,James Logan High,Public,12-Sep,1800 H St.,Union City,94587,Alameda,New Haven Unified,No,No,No,Yes,2018
346,Livermore High,Public,12-Sep,600 Maple St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2018
390,John F. Kennedy High,Public,12-Sep,39999 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,No,No,Yes,2018
478,Arroyo High,Public,12-Sep,15701 Lorenzo Ave.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2018
498,Oakland Unity High,"Public, Charter",12-Sep,6038 Brann St.,Oakland,94605,Alameda,Oakland Unified,Yes,No,No,Yes,2018
530,American Indian Public High,"Public, Charter",12-Sep,746 Grand Ave.,Oakland,94607,Alameda,Oakland Unified,Yes,No,No,Yes,2018
