,State,County,City,Median Sale Price,Date,Month,Year,lat,lng
50,California,"Santa Clara, CA",Santa Clara,465000.0,2/1/2012,2,2012,37.3541079,-121.9552356
64,California,"Santa Clara, CA",Santa Clara,690000.0,10/1/2013,10,2013,37.3541079,-121.9552356
80,California,"Oakland, CA",Oakland,610000.0,5/1/2015,5,2015,37.8043637,-122.2711137
109,California,"Santa Clara, CA",Santa Clara,541000.0,3/1/2012,3,2012,37.3541079,-121.9552356
193,California,"Oakland, CA",Oakland,499000.0,6/1/2014,6,2014,37.8043637,-122.2711137
272,California,"Oakland, CA",Oakland,334000.0,10/1/2012,10,2012,37.8043637,-122.2711137
385,California,"Santa Clara, CA",Santa Clara,1325000.0,12/1/2017,12,2017,37.3541079,-121.9552356
399,California,"Santa Clara, CA",Santa Clara,545000.0,7/1/2012,7,2012,37.3541079,-121.9552356
447,California,"Oakland, CA",Oakland,520000.0,8/1/2014,8,2014,37.8043637,-122.2711137
464,California,"Santa Clara, CA",Santa Clara,898000.0,7/1/2015,7,2015,37.3541079,-121.9552356
479,California,"Santa Clara, CA",Santa Clara,895000.0,3/1/2016,3,2016,37.3541079,-121.9552356
552,California,"Oakland, CA",Oakland,229000.0,2/1/2012,2,2012,37.8043637,-122.2711137
630,California,"Santa Clara, CA",Santa Clara,690000.0,11/1/2013,11,2013,37.3541079,-121.9552356
657,California,"Hayward, CA",Hayward,450000.0,4/1/2014,4,2014,37.6688205,-122.0807964
727,California,"Santa Clara, CA",Santa Clara,601000.0,8/1/2012,8,2012,37.3541079,-121.9552356
729,California,"Oakland, CA",Oakland,300000.0,8/1/2012,8,2012,37.8043637,-122.2711137
762,California,"Santa Clara, CA",Santa Clara,635000.0,5/1/2013,5,2013,37.3541079,-121.9552356
820,California,"Santa Clara, CA",Santa Clara,741000.0,5/1/2014,5,2014,37.3541079,-121.9552356
821,California,"Oakland, CA",Oakland,493000.0,5/1/2014,5,2014,37.8043637,-122.2711137
833,California,"Santa Clara, CA",Santa Clara,785000.0,8/1/2014,8,2014,37.3541079,-121.9552356
836,California,"Santa Clara, CA",Santa Clara,785000.0,9/1/2014,9,2014,37.3541079,-121.9552356
849,California,"Santa Clara, CA",Santa Clara,748000.0,11/1/2014,11,2014,37.3541079,-121.9552356
1002,California,"Santa Clara, CA",Santa Clara,1160000.0,6/1/2017,6,2017,37.3541079,-121.9552356
1017,California,"Santa Clara, CA",Santa Clara,1140000.0,10/1/2017,10,2017,37.3541079,-121.9552356
1165,California,"Santa Clara, CA",Santa Clara,670000.0,8/1/2013,8,2013,37.3541079,-121.9552356
1172,California,"Santa Clara, CA",Santa Clara,642000.0,9/1/2013,9,2013,37.3541079,-121.9552356
1236,California,"Oakland, CA",Oakland,490000.0,10/1/2014,10,2014,37.8043637,-122.2711137
1303,California,"Oakland, CA",Oakland,573000.0,6/1/2015,6,2015,37.8043637,-122.2711137
1441,California,"Santa Clara, CA",Santa Clara,638000.0,6/1/2012,6,2012,37.3541079,-121.9552356
1483,California,"Santa Clara, CA",Santa Clara,615000.0,1/1/2013,1,2013,37.3541079,-121.9552356
1499,California,"Oakland, CA",Oakland,350000.0,3/1/2013,3,2013,37.8043637,-122.2711137
1508,California,"Oakland, CA",Oakland,450000.0,4/1/2013,4,2013,37.8043637,-122.2711137
1515,California,"Santa Clara, CA",Santa Clara,684000.0,4/1/2013,4,2013,37.3541079,-121.9552356
1587,California,"Santa Clara, CA",Santa Clara,735000.0,12/1/2013,12,2013,37.3541079,-121.9552356
1615,California,"Santa Clara, CA",Santa Clara,708000.0,4/1/2014,4,2014,37.3541079,-121.9552356
1672,California,"Oakland, CA",Oakland,425000.0,1/1/2015,1,2015,37.8043637,-122.2711137
1767,California,"Oakland, CA",Oakland,270000.0,5/1/2012,5,2012,37.8043637,-122.2711137
1812,California,"Santa Clara, CA",Santa Clara,585000.0,10/1/2012,10,2012,37.3541079,-121.9552356
1845,California,"Hayward, CA",Hayward,320000.0,2/1/2013,2,2013,37.6688205,-122.0807964
1846,California,"Oakland, CA",Oakland,323000.0,2/1/2013,2,2013,37.8043637,-122.2711137
1877,California,"Santa Clara, CA",Santa Clara,695000.0,6/1/2013,6,2013,37.3541079,-121.9552356
1913,California,"Oakland, CA",Oakland,437000.0,11/1/2013,11,2013,37.8043637,-122.2711137
1919,California,"Oakland, CA",Oakland,420000.0,12/1/2013,12,2013,37.8043637,-122.2711137
1962,California,"Hayward, CA",Hayward,450000.0,5/1/2014,5,2014,37.6688205,-122.0807964
2014,California,"Oakland, CA",Oakland,536000.0,11/1/2014,11,2014,37.8043637,-122.2711137
2126,California,"Santa Clara, CA",Santa Clara,600000.0,5/1/2012,5,2012,37.3541079,-121.9552356
2138,California,"Oakland, CA",Oakland,300000.0,7/1/2012,7,2012,37.8043637,-122.2711137
2198,California,"Santa Clara, CA",Santa Clara,593000.0,12/1/2012,12,2012,37.3541079,-121.9552356
2204,California,"Oakland, CA",Oakland,344000.0,1/1/2013,1,2013,37.8043637,-122.2711137
2317,California,"Oakland, CA",Oakland,365000.0,1/1/2014,1,2014,37.8043637,-122.2711137
2338,California,"Oakland, CA",Oakland,423000.0,3/1/2014,3,2014,37.8043637,-122.2711137
2344,California,"Oakland, CA",Oakland,475000.0,4/1/2014,4,2014,37.8043637,-122.2711137
2378,California,"San Jose, CA",San Jose,670000.0,7/1/2014,7,2014,37.3382082,-121.8863286
2435,California,"Santa Clara, CA",Santa Clara,804000.0,1/1/2015,1,2015,37.3541079,-121.9552356
2448,California,"Oakland, CA",Oakland,495000.0,3/1/2015,3,2015,37.8043637,-122.2711137
