,State,County,City,Median Sale Price,Date,Month,Year,lat,lng
50,California,"Santa Clara, CA",Santa Clara,465000.0,2/1/2012,2,2012,37.3541079,-121.9552356
64,California,"Santa Clara, CA",Santa Clara,690000.0,10/1/2013,10,2013,37.3541079,-121.9552356
84,California,"Alameda, CA",Alameda,782000.0,9/1/2015,9,2015,37.7652065,-122.2416355
109,California,"Santa Clara, CA",Santa Clara,541000.0,3/1/2012,3,2012,37.3541079,-121.9552356
125,California,"Alameda, CA",Alameda,488000.0,9/1/2012,9,2012,37.7652065,-122.2416355
158,California,"Alameda, CA",Alameda,630000.0,6/1/2013,6,2013,37.7652065,-122.2416355
175,California,"Alameda, CA",Alameda,615000.0,12/1/2013,12,2013,37.7652065,-122.2416355
222,California,"Alameda, CA",Alameda,775000.0,3/1/2015,3,2015,37.7652065,-122.2416355
241,California,"Alameda, CA",Alameda,755000.0,8/1/2015,8,2015,37.7652065,-122.2416355
351,California,"Alameda, CA",Alameda,850000.0,5/1/2016,5,2016,37.7652065,-122.2416355
363,California,"Alameda, CA",Alameda,880000.0,12/1/2016,12,2016,37.7652065,-122.2416355
385,California,"Santa Clara, CA",Santa Clara,1325000.0,12/1/2017,12,2017,37.3541079,-121.9552356
399,California,"Santa Clara, CA",Santa Clara,545000.0,7/1/2012,7,2012,37.3541079,-121.9552356
464,California,"Santa Clara, CA",Santa Clara,898000.0,7/1/2015,7,2015,37.3541079,-121.9552356
479,California,"Santa Clara, CA",Santa Clara,895000.0,3/1/2016,3,2016,37.3541079,-121.9552356
488,California,"Alameda, CA",Alameda,827000.0,8/1/2016,8,2016,37.7652065,-122.2416355
614,California,"Alameda, CA",Alameda,568000.0,8/1/2013,8,2013,37.7652065,-122.2416355
618,California,"Alameda, CA",Alameda,655000.0,9/1/2013,9,2013,37.7652065,-122.2416355
630,California,"Santa Clara, CA",Santa Clara,690000.0,11/1/2013,11,2013,37.3541079,-121.9552356
714,California,"Alameda, CA",Alameda,518000.0,6/1/2012,6,2012,37.7652065,-122.2416355
727,California,"Santa Clara, CA",Santa Clara,601000.0,8/1/2012,8,2012,37.3541079,-121.9552356
762,California,"Santa Clara, CA",Santa Clara,635000.0,5/1/2013,5,2013,37.3541079,-121.9552356
763,California,"Alameda, CA",Alameda,605000.0,5/1/2013,5,2013,37.7652065,-122.2416355
820,California,"Santa Clara, CA",Santa Clara,741000.0,5/1/2014,5,2014,37.3541079,-121.9552356
826,California,"Alameda, CA",Alameda,799000.0,6/1/2014,6,2014,37.7652065,-122.2416355
833,California,"Santa Clara, CA",Santa Clara,785000.0,8/1/2014,8,2014,37.3541079,-121.9552356
836,California,"Santa Clara, CA",Santa Clara,785000.0,9/1/2014,9,2014,37.3541079,-121.9552356
849,California,"Santa Clara, CA",Santa Clara,748000.0,11/1/2014,11,2014,37.3541079,-121.9552356
889,California,"Alameda, CA",Alameda,785000.0,7/1/2015,7,2015,37.7652065,-122.2416355
1002,California,"Santa Clara, CA",Santa Clara,1160000.0,6/1/2017,6,2017,37.3541079,-121.9552356
1017,California,"Santa Clara, CA",Santa Clara,1140000.0,10/1/2017,10,2017,37.3541079,-121.9552356
1054,California,"Alameda, CA",Alameda,402000.0,2/1/2012,2,2012,37.7652065,-122.2416355
1058,California,"Alameda, CA",Alameda,439000.0,3/1/2012,3,2012,37.7652065,-122.2416355
1165,California,"Santa Clara, CA",Santa Clara,670000.0,8/1/2013,8,2013,37.3541079,-121.9552356
1172,California,"Santa Clara, CA",Santa Clara,642000.0,9/1/2013,9,2013,37.3541079,-121.9552356
1230,California,"Alameda, CA",Alameda,710000.0,9/1/2014,9,2014,37.7652065,-122.2416355
1302,California,"Alameda, CA",Alameda,780000.0,6/1/2015,6,2015,37.7652065,-122.2416355
1441,California,"Santa Clara, CA",Santa Clara,638000.0,6/1/2012,6,2012,37.3541079,-121.9552356
1483,California,"Santa Clara, CA",Santa Clara,615000.0,1/1/2013,1,2013,37.3541079,-121.9552356
1488,California,"Alameda, CA",Alameda,549000.0,2/1/2013,2,2013,37.7652065,-122.2416355
1515,California,"Santa Clara, CA",Santa Clara,684000.0,4/1/2013,4,2013,37.3541079,-121.9552356
1536,California,"Alameda, CA",Alameda,650000.0,7/1/2013,7,2013,37.7652065,-122.2416355
1587,California,"Santa Clara, CA",Santa Clara,735000.0,12/1/2013,12,2013,37.3541079,-121.9552356
1596,California,"Alameda, CA",Alameda,726000.0,2/1/2014,2,2014,37.7652065,-122.2416355
1615,California,"Santa Clara, CA",Santa Clara,708000.0,4/1/2014,4,2014,37.3541079,-121.9552356
1647,California,"Alameda, CA",Alameda,721000.0,10/1/2014,10,2014,37.7652065,-122.2416355
1765,California,"Alameda, CA",Alameda,503000.0,5/1/2012,5,2012,37.7652065,-122.2416355
1812,California,"Santa Clara, CA",Santa Clara,585000.0,10/1/2012,10,2012,37.3541079,-121.9552356
1814,California,"Alameda, CA",Alameda,508000.0,11/1/2012,11,2012,37.7652065,-122.2416355
1822,California,"Alameda, CA",Alameda,515000.0,12/1/2012,12,2012,37.7652065,-122.2416355
1877,California,"Santa Clara, CA",Santa Clara,695000.0,6/1/2013,6,2013,37.3541079,-121.9552356
1953,California,"Alameda, CA",Alameda,725000.0,4/1/2014,4,2014,37.7652065,-122.2416355
2013,California,"Alameda, CA",Alameda,680000.0,11/1/2014,11,2014,37.7652065,-122.2416355
2126,California,"Santa Clara, CA",Santa Clara,600000.0,5/1/2012,5,2012,37.3541079,-121.9552356
2145,California,"Alameda, CA",Alameda,520000.0,8/1/2012,8,2012,37.7652065,-122.2416355
