,City,Year,Citywise_CrimeTotal,Crime Rate
0,ANAHEIM,2017,5230,1.6127788827728695
1,ANAHEIM,2018,4977,1.605820575281914
2,ANTIOCH,2017,2179,0.6719398060348151
3,ANTIOCH,2018,1762,0.5685062997080033
4,BAKERSFIELD,2017,8499,2.620842777186734
5,BAKERSFIELD,2018,9241,2.981592914643393
6,BERKELEY,2017,3149,0.9710594076198407
7,BERKELEY,2018,2832,0.9137399777372675
8,BURBANK,2017,1596,0.4921596743605162
9,BURBANK,2018,1491,0.4810686111604046
10,CARLSBAD,2017,1120,0.34537521007755523
11,CARLSBAD,2018,1196,0.38588736347943925
12,CHULA VISTA,2017,2283,0.7040103612563023
13,CHULA VISTA,2018,2311,0.745640214883766
14,CLOVIS,2017,1660,0.5118954006506622
15,CLOVIS,2018,1377,0.4442867052769129
16,CONCORD,2017,2359,0.7274465362258506
17,CONCORD,2018,2397,0.7733879684449966
18,CORONA,2017,1915,0.5905299350879628
19,CORONA,2018,1662,0.5362414699856421
20,COSTA MESA,2017,2496,0.7696933253156946
21,COSTA MESA,2018,2030,0.6549760433639311
22,DALY CITY,2017,973,0.3000447137548761
23,DALY CITY,2018,832,0.2684433832900447
24,DOWNEY,2017,1869,0.5763448818169203
25,DOWNEY,2018,1526,0.492361301563231
26,EL CAJON,2017,1396,0.4304855297038099
27,EL CAJON,2018,1410,0.45493409908529203
28,ELK GROVE,2017,1452,0.4477542902076877
29,ELK GROVE,2018,1374,0.4433187603852421
30,EL MONTE,2017,1635,0.5041861325685739
31,EL MONTE,2018,1397,0.45073967122138514
32,ESCONDIDO,2017,1521,0.46903187011425135
33,ESCONDIDO,2018,1607,0.5184958136383435
34,FAIRFIELD,2017,1716,0.52916416115454
35,FAIRFIELD,2018,1974,0.6369077387194089
36,FONTANA,2017,2161,0.6663891330157115
37,FONTANA,2018,2014,0.6498136706083534
38,FREMONT,2017,2924,0.901675994881046
39,FREMONT,2018,2644,0.8530820978592285
40,FRESNO,2017,11767,3.628598300877315
41,FRESNO,2018,10117,3.2642328230112767
42,FULLERTON,2017,2117,0.6528208211912361
43,FULLERTON,2018,2052,0.6620743059028507
44,GARDEN GROVE,2017,2513,0.7749356276115146
45,GARDEN GROVE,2018,2362,0.7620952780421701
46,GLENDALE,2017,1708,0.5266971953682718
47,GLENDALE,2018,1574,0.5078484198299643
48,HAYWARD,2017,2783,0.8581957228980681
49,HAYWARD,2018,2764,0.8917998935260619
50,HUNTINGTON BEACH,2017,2338,0.7209707510368966
51,HUNTINGTON BEACH,2018,2089,0.6740122929001242
52,INGLEWOOD,2017,1784,0.5501333703378201
53,INGLEWOOD,2018,1731,0.5585042024940714
54,IRVINE,2017,1884,0.5809704426661733
55,IRVINE,2018,1756,0.5665704099246616
56,JURUPA VALLEY,2017,1490,0.45947237769246185
57,JURUPA VALLEY,2018,1523,0.4913933566715602
58,LANCASTER,2017,2088,0.6438780702160137
59,LANCASTER,2018,2441,0.7875844935228354
60,LONG BEACH,2017,7831,2.4148511340333347
61,LONG BEACH,2018,7638,2.464387694193944
62,LOS ANGELES,2017,64755,19.96854618622508
63,LOS ANGELES,2018,64487,20.806620743059028
64,MODESTO,2017,5288,1.6306643847233144
65,MODESTO,2018,4928,1.590010808717957
66,MORENO VALLEY,2017,3675,1.1332624080669782
67,MORENO VALLEY,2018,3329,1.0740961814574024
68,MURRIETA,2017,876,0.27013275359637356
69,MURRIETA,2018,712,0.22972558762321132
70,NORWALK,2017,1192,0.3675779021539695
71,NORWALK,2018,1276,0.41169922725732816
72,OAKLAND,2017,15818,4.877808100898901
73,OAKLAND,2018,13352,4.30800006452966
74,OCEANSIDE,2017,2435,0.7508827111953992
75,OCEANSIDE,2018,2154,0.694984432219659
76,ONTARIO,2017,2527,0.779252817737484
77,ONTARIO,2018,2640,0.8517915046703342
78,ORANGE,2017,1415,0.436344573446197
79,ORANGE,2018,1323,0.42686369722683787
80,OXNARD,2017,3159,0.9741431148526759
81,OXNARD,2018,3017,0.9734299127236355
82,PALMDALE,2017,1620,0.49956057171932094
83,PALMDALE,2018,1528,0.4930065981576782
84,PASADENA,2017,1843,0.5683272430115485
85,PASADENA,2018,1683,0.543017084227338
86,POMONA,2017,2645,0.8156405630849408
87,POMONA,2018,2813,0.907609660090019
