rank,SchoolName,level,SchoolId,city,zip,county,SchoolDistrict,score,Year
1,Whitney (Gretchen) High,High,060162000029,Cerritos,90703,Los Angeles,ABC Unified,99.00967,2015
2,William & Marian Ghidotti High,High,062688011700,Grass Valley,95945,Nevada,Nevada Joint Union High,98.98633,2015
3,Oxford Academy,High,060263007580,Cypress,90630,Orange,Anaheim Union High,98.906,2015
4,California Academy of Mathematics and Science,High,062250009901,Carson,90747,Los Angeles,Long Beach Unified,98.90333,2015
5,Academy of the Canyons,High,064251008517,Santa Clarita,91355,Los Angeles,William S. Hart Union High,98.735,2015
6,River Valley Charter,High,062079007308,Lakeside,92040,San Diego,Lakeside Union Elementary,98.65533,2015
7,Monta Vista High,High,061443001699,Cupertino,95014,Santa Clara,Fremont Union High,98.61867,2015
8,Alameda Science and Technology Institute,High,060177010547,Alameda,94501,Alameda,Alameda Unified,98.57233,2015
9,Middle College High,High,063417010366,San Bernardino,92410,San Bernardino,San Bernardino City Unified,98.51267,2015
10,Grossmont Middle College High,High,061623010630,El Cajon,92020,San Diego,Grossmont Union High,98.41,2015
