SchoolName,SchoolId,RankYear,county,SchoolDistrict,city,zip,level,score,rank
California Academy of Mathematics and Science,062250009901,2012,Los Angeles,Long Beach Unified,Carson,90747,High,97.19057,1
Oxford Academy,060263007580,2012,Orange,Anaheim Union High,Cypress,90630,High,96.51639,2
Oakland Charter High,062805012041,2012,Alameda,Oakland Unified,Oakland,94601,High,96.11057,3
Whitney (Gretchen) High,060162000029,2012,Los Angeles,ABC Unified,Cerritos,90703,High,96.09131,4
Middle College High,063459008633,2012,Santa Clara,San Jose Unified,San Jose,95128,High,95.5815,5
Lowell High,063441005643,2012,San Francisco,San Francisco Unified,San Francisco,94132,High,94.94654,6
Dr. TJ Owens Gilroy Early College Academy,061518012174,2012,Santa Clara,Gilroy Unified,Gilroy,95020,High,94.22017,7
Oak Park High,062785007253,2012,Ventura,Oak Park Unified,Oak Park,91377,High,93.37697,8
La Canada High,062013002408,2012,Los Angeles,La Canada Unified,La Canada,91011,High,93.24097,9
Cypress High,060263000172,2012,Orange,Anaheim Union High,Cypress,90630,High,93.11023,10
