,State,County,City,Median Sale Price,Date,Month,Year,Region
50,California,"Santa Clara, CA",Santa Clara,465000,2/1/2012,2,2012,"Santa Clara County, CA"
64,California,"Santa Clara, CA",Santa Clara,690000,10/1/2013,10,2013,"Santa Clara County, CA"
84,California,"Alameda, CA",Alameda,782000,9/1/2015,9,2015,"Alameda County, CA"
109,California,"Santa Clara, CA",Santa Clara,541000,3/1/2012,3,2012,"Santa Clara County, CA"
125,California,"Alameda, CA",Alameda,488000,9/1/2012,9,2012,"Alameda County, CA"
158,California,"Alameda, CA",Alameda,630000,6/1/2013,6,2013,"Alameda County, CA"
175,California,"Alameda, CA",Alameda,615000,12/1/2013,12,2013,"Alameda County, CA"
222,California,"Alameda, CA",Alameda,775000,3/1/2015,3,2015,"Alameda County, CA"
241,California,"Alameda, CA",Alameda,755000,8/1/2015,8,2015,"Alameda County, CA"
351,California,"Alameda, CA",Alameda,850000,5/1/2016,5,2016,"Alameda County, CA"
363,California,"Alameda, CA",Alameda,880000,12/1/2016,12,2016,"Alameda County, CA"
385,California,"Santa Clara, CA",Santa Clara,1325000,12/1/2017,12,2017,"Santa Clara County, CA"
399,California,"Santa Clara, CA",Santa Clara,545000,7/1/2012,7,2012,"Santa Clara County, CA"
464,California,"Santa Clara, CA",Santa Clara,898000,7/1/2015,7,2015,"Santa Clara County, CA"
479,California,"Santa Clara, CA",Santa Clara,895000,3/1/2016,3,2016,"Santa Clara County, CA"
488,California,"Alameda, CA",Alameda,827000,8/1/2016,8,2016,"Alameda County, CA"
614,California,"Alameda, CA",Alameda,568000,8/1/2013,8,2013,"Alameda County, CA"
618,California,"Alameda, CA",Alameda,655000,9/1/2013,9,2013,"Alameda County, CA"
630,California,"Santa Clara, CA",Santa Clara,690000,11/1/2013,11,2013,"Santa Clara County, CA"
714,California,"Alameda, CA",Alameda,518000,6/1/2012,6,2012,"Alameda County, CA"
727,California,"Santa Clara, CA",Santa Clara,601000,8/1/2012,8,2012,"Santa Clara County, CA"
762,California,"Santa Clara, CA",Santa Clara,635000,5/1/2013,5,2013,"Santa Clara County, CA"
763,California,"Alameda, CA",Alameda,605000,5/1/2013,5,2013,"Alameda County, CA"
