,Year,County,Unemployment Rate,Region
0,2009,Alameda,10.25833333,"Alameda County, CA"
1,2009,Alpine,14.725,"Alpine County, CA"
2,2009,Amador,11.425,"Amador County, CA"
3,2009,Butte,12.28333333,"Butte County, CA"
4,2009,Calaveras,13.6,"Calaveras County, CA"
5,2009,Colusa,17.68333333,"Colusa County, CA"
6,2009,Contra Costa,9.966666667,"Contra Costa County, CA"
7,2009,Del Norte,11.78333333,"Del Norte County, CA"
8,2009,El Dorado,10.85833333,"El Dorado County, CA"
9,2009,Fresno,14.69166667,"Fresno County, CA"
10,2009,Glenn,14.16666667,"Glenn County, CA"
11,2009,Humboldt,10.69166667,"Humboldt County, CA"
12,2009,Imperial,27.325,"Imperial County, CA"
13,2009,Inyo,8.966666667,"Inyo County, CA"
14,2009,Kern,14.075,"Kern County, CA"
15,2009,Kings,14.25833333,"Kings County, CA"
16,2009,Lake,15.01666667,"Lake County, CA"
17,2009,Lassen,12.35,"Lassen County, CA"
18,2009,Los Angeles,23.18333333,"Los Angeles County, CA"
19,2009,Madera,13.38333333,"Madera County, CA"
20,2009,Marin,7.516666667,"Marin County, CA"
21,2009,Mariposa,10.375,"Mariposa County, CA"
22,2009,Mendocino,10.05,"Mendocino County, CA"
23,2009,Merced,16.61666667,"Merced County, CA"
24,2009,Modoc,12.21666667,"Modoc County, CA"
25,2009,Mono,8.866666667,"Mono County, CA"
26,2009,Monterey,11.6,"Monterey County, CA"
27,2009,Napa,8.358333333,"Napa County, CA"
28,2009,Nevada,10.26666667,"Nevada County, CA"
29,2009,Orange,8.65,"Orange County, CA"
30,2009,Placer,10.16666667,"Placer County, CA"
31,2009,Plumas,15.49166667,"Plumas County, CA"
32,2009,Riverside,13.10833333,"Riverside County, CA"
33,2009,Sacramento,11.01666667,"Sacramento County, CA"
34,2009,San Benito,13.925,"San Benito County, CA"
35,2009,San Bernardino,12.65,"San Bernardino County, CA"
36,2009,San Diego,9.383333333,"San Diego County, CA"
37,2009,San Francisco,8.683333333,"San Francisco County, CA"
38,2009,San Joaquin,14.94166667,"San Joaquin County, CA"
39,2009,San Luis Obispo,8.816666667,"San Luis Obispo County, CA"
40,2009,San Mateo,8.191666667,"San Mateo County, CA"
41,2009,Santa Barbara,8.241666667,"Santa Barbara County, CA"
42,2009,Santa Clara,10.59166667,"Santa Clara County, CA"
43,2009,Santa Cruz,11.09166667,"Santa Cruz County, CA"
44,2009,Shasta,14.35,"Shasta County, CA"
45,2009,Sierra,14.95,"Sierra County, CA"
46,2009,Siskiyou,14.26666667,"Siskiyou County, CA"
47,2009,Solano,10.39166667,"Solano County, CA"
48,2009,Sonoma,9.416666667,"Sonoma County, CA"
49,2009,Stanislaus,15.51666667,"Stanislaus County, CA"
50,2009,Sutter,16.46666667,"Sutter County, CA"
51,2009,Tehama,13.63333333,"Tehama County, CA"
52,2009,Trinity,16.84166667,"Trinity County, CA"
53,2009,Tulare,14.86666667,"Tulare County, CA"
54,2009,Tuolumne,12.18333333,"Tuolumne County, CA"
55,2009,Ventura,9.641666667,"Ventura County, CA"
56,2009,Yolo,11.01666667,"Yolo County, CA"
57,2009,Yuba,16.84166667,"Yuba County, CA"
58,2010,Alameda,10.91666667,"Alameda County, CA"
59,2010,Alpine,13.23333333,"Alpine County, CA"
60,2010,Amador,14.05833333,"Amador County, CA"
61,2010,Butte,13.9,"Butte County, CA"
62,2010,Calaveras,14.45,"Calaveras County, CA"
63,2010,Colusa,20.875,"Colusa County, CA"
64,2010,Contra Costa,10.95833333,"Contra Costa County, CA"
65,2010,Del Norte,13.19166667,"Del Norte County, CA"
66,2010,El Dorado,12.20833333,"El Dorado County, CA"
67,2010,Fresno,16.70833333,"Fresno County, CA"
68,2010,Glenn,15.43333333,"Glenn County, CA"
69,2010,Humboldt,10.58333333,"Humboldt County, CA"
70,2010,Imperial,28.81666667,"Imperial County, CA"
71,2010,Inyo,9.708333333,"Inyo County, CA"
72,2010,Kern,15.66666667,"Kern County, CA"
73,2010,Kings,16.125,"Kings County, CA"
74,2010,Lake,15.09166667,"Lake County, CA"
75,2010,Lassen,14.05,"Lassen County, CA"
76,2010,Los Angeles,24.96666667,"Los Angeles County, CA"
77,2010,Madera,16.64166667,"Madera County, CA"
78,2010,Marin,7.85,"Marin County, CA"
79,2010,Mariposa,13.03333333,"Mariposa County, CA"
80,2010,Mendocino,11.60833333,"Mendocino County, CA"
81,2010,Merced,17.95833333,"Merced County, CA"
82,2010,Modoc,15.225,"Modoc County, CA"
83,2010,Mono,10.25,"Mono County, CA"
84,2010,Monterey,12.85,"Monterey County, CA"
