City,Year,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ANAHEIM,2017,601,6,63,218,314,"4,629",652,"3,190",787,16
ANAHEIM,2018,578,2,70,195,311,"4,399",733,"2,969",697,13
ANTIOCH,2017,306,4,22,127,153,"1,873",301,"1,037",535,30
ANTIOCH,2018,283,1,24,102,156,"1,479",278,910,291,26
BAKERSFIELD,2017,929,22,48,365,494,"7,570","1,643","4,621","1,306",127
BAKERSFIELD,2018,911,18,60,402,431,"8,330","1,997","4,875","1,458",116
BERKELEY,2017,322,1,38,181,102,"2,827",386,"2,148",293,6
BERKELEY,2018,289,1,33,170,85,"2,543",412,"1,858",273,21
BURBANK,2017,113,0,7,40,66,"1,483",158,"1,187",138,11
BURBANK,2018,129,0,7,48,74,"1,362",141,"1,115",106,7
CARLSBAD,2017,106,0,16,17,73,"1,014",204,745,65,7
CARLSBAD,2018,115,1,19,23,72,"1,081",169,830,82,5
CHULA VISTA,2017,376,0,30,138,208,"1,907",313,"1,244",350,13
CHULA VISTA,2018,406,4,43,114,245,"1,905",307,"1,244",354,9
CLOVIS,2017,144,0,23,36,85,"1,516",245,"1,177",94,3
CLOVIS,2018,106,1,23,15,67,"1,271",160,"1,024",87,2
CONCORD,2017,229,3,28,85,113,"2,130",203,"1,499",428,14
CONCORD,2018,246,1,27,103,115,"2,151",261,"1,611",279,12
CORONA,2017,108,0,23,43,42,"1,807",308,"1,213",286,9
CORONA,2018,127,4,27,49,47,"1,535",191,"1,082",262,10
COSTA MESA,2017,166,1,27,69,69,"2,330",344,"1,688",298,5
COSTA MESA,2018,170,2,34,60,74,"1,860",260,"1,439",161,12
DALY CITY,2017,144,0,30,58,56,829,104,629,96,4
DALY CITY,2018,113,2,18,45,48,719,119,517,83,3
DOWNEY,2017,198,1,11,89,97,"1,671",292,976,403,2
DOWNEY,2018,174,3,7,83,81,"1,352",243,784,325,8
EL CAJON,2017,189,0,24,62,103,"1,207",231,757,219,6
EL CAJON,2018,246,2,20,86,138,"1,164",166,827,171,9
ELK GROVE,2017,273,0,18,47,208,"1,179",208,862,109,0
ELK GROVE,2018,261,0,15,40,206,"1,113",146,878,89,6
EL MONTE,2017,239,4,23,95,117,"1,396",361,677,358,4
EL MONTE,2018,181,2,12,78,89,"1,216",257,677,282,10
ESCONDIDO,2017,252,3,21,68,160,"1,269",215,877,177,9
ESCONDIDO,2018,237,1,28,71,137,"1,370",187,933,250,5
FAIRFIELD,2017,283,5,18,99,161,"1,433",230,975,228,11
FAIRFIELD,2018,335,2,53,89,191,"1,639",211,"1,121",307,11
FONTANA,2017,321,4,33,81,203,"1,840",295,"1,089",456,6
FONTANA,2018,331,5,27,94,205,"1,683",289,928,466,5
FREMONT,2017,202,0,30,88,84,"2,722",350,"1,870",502,8
FREMONT,2018,272,1,32,115,124,"2,372",402,"1,608",362,6
FRESNO,2017,"1,511",33,90,502,886,"10,256","1,860","6,908","1,488",112
FRESNO,2018,"1,489",18,93,473,905,"8,628","1,411","6,126","1,091",129
FULLERTON,2017,133,0,31,41,61,"1,984",154,"1,620",210,20
FULLERTON,2018,174,0,27,66,81,"1,878",176,"1,460",242,8
GARDEN GROVE,2017,304,2,6,112,184,"2,209",427,"1,458",324,11
GARDEN GROVE,2018,266,2,28,90,146,"2,096",329,"1,438",329,6
GLENDALE,2017,155,1,13,72,69,"1,553",246,"1,150",157,5
GLENDALE,2018,83,0,16,24,43,"1,491",188,"1,156",147,5
HAYWARD,2017,260,2,34,125,99,"2,523",247,"1,355",921,13
HAYWARD,2018,330,0,55,170,105,"2,434",262,"1,468",704,9
HUNTINGTON BEACH,2017,205,0,22,33,150,"2,133",335,"1,565",233,9
HUNTINGTON BEACH,2018,218,0,41,59,118,"1,871",227,"1,485",159,9
INGLEWOOD,2017,418,4,22,206,186,"1,366",242,685,439,10
INGLEWOOD,2018,349,7,29,155,158,"1,382",220,823,339,6
IRVINE,2017,87,2,24,28,33,"1,797",324,"1,374",99,4
IRVINE,2018,83,0,23,22,38,"1,673",273,"1,316",84,2
JURUPA VALLEY,2017,138,3,10,36,89,"1,352",155,858,339,3
JURUPA VALLEY,2018,134,5,8,45,76,"1,389",201,791,397,0
LANCASTER,2017,527,7,29,143,348,"1,561",438,794,329,17
LANCASTER,2018,586,4,49,142,391,"1,855",512,981,362,14
LONG BEACH,2017,"1,551",11,93,618,829,"6,280","1,442","3,416","1,422",59
LONG BEACH,2018,"1,702",11,107,527,"1,057","5,936","1,077","3,688","1,171",57
